Cluster number;Age of head of household;Has a computer;Has air conditioner;Has animal-drawn cart;Has bank account;Has bicycle;Has boat with a motor;Has car/truck;Has electricity;Has mobile telephone;Has mosquito bed net for sleeping;Has motorcycle/scooter;Has radio;Has refrigerator;Has television;Main floor material;Main roof material;Main wall material;Number of de facto members;Number of household members;Number of mosquito bed nets;Number of rooms used for sleeping;Owns cattle;Owns chickens/poultry;Owns cows/ bulls;Owns goats;Owns horses/ donkeys/ mules;Owns land usable for agriculture;Sex of head of household;Source of drinking water;Type of cooking fuel;Type of place of residence;Type of toilet facility;Wealth index for urban/rural;Has solar panel;Has a generator;Has plows;Has a tractor;Has a tiller;Motorized seed drill;Age of household head;Are there ways to avoid getting malaria;Births in last five years;Daughters who have died;Education in single years;Educational attainment;Frequency of listening to radio;Frequency of reading newspaper or magazine;Frequency of using internet last month;Frequency of watching television;Highest educational level;Literacy;Owns a mobile telephone;Respondent slept under mosquito bed net;Sex of household head;Sons who have died;Time to get to water source;Total children ever born;Use of internet;Component1;Social Vulnerability;Social Vulnerability  Unweighted;geometry
1;56.73076923;0.038461538;0.038461538;1;0.115384615;0.230769231;0;0.038461538;0.423076923;1;1;0.846153846;0.769230769;0.115384615;0.230769231;2.269230769;2.846153846;2.307692308;19.23076923;19.42307692;7.5;7.423076923;6.807692308;6.192307692;3.153846154;2.730769231;2.884615385;0.961538462;1.076923077;2.384615385;8;2;2;3.884615385;0.961538462;0.038461538;0.961538462;0;0;0;59.19444444;0.601851852;0.842592593;0.138888889;0.518518519;0.203703704;0.62962963;0;1.453703704;0.268518519;0.166666667;0.064814815;0.703703704;0.703703704;1.046296296;0.138888889;7.314814815;3.175925926;0.666666667;-1.789637304;-0.589196553;-1.129203076;POINT (-11.65398777 14.79431351)
2;53.34615385;0;0;0.730769231;0;0;0;0;0.115384615;1;0.807692308;0.269230769;0.115384615;0;0.076923077;1.153846154;1.423076923;2.230769231;12.34615385;12.46153846;3.538461538;3.423076923;18.5;4.461538462;9.461538462;11.53846154;2.807692308;0.961538462;1.038461538;2.846153846;8;2;2.692307692;1.307692308;0.384615385;0.076923077;0.730769231;0;0;0;53.81355932;0.559322034;0.796610169;0.220338983;1.423728814;0.491525424;0.06779661;0;0.305084746;0.152542373;0.338983051;0.254237288;0.372881356;0.661016949;1.033898305;0.186440678;20.84745763;3.830508475;0.220338983;-1.002646369;-0.135857467;1.232741267;POINT (-11.50757024 15.54080954)
3;59.07692308;0;0;1;0.115384615;0.269230769;0;0.115384615;0.346153846;0.961538462;1;0.769230769;0.538461538;0.115384615;0.269230769;1.692307692;2.615384615;2.307692308;23.73076923;23.92307692;8.961538462;7.192307692;11.46153846;11.07692308;4.615384615;6.730769231;2.307692308;1;1;2.961538462;8;2;2;3;0.615384615;0.038461538;0.884615385;0;0;0;63.24347826;0.782608696;0.739130435;0.260869565;1.843478261;0.6;0.626086957;0.034782609;0.834782609;0.634782609;0.417391304;0.32173913;0.626086957;0.713043478;1;0.295652174;22.60869565;3.730434783;0.356521739;-1.690115048;-0.571008796;-0.712074016;POINT (-11.10283314 14.76143489)
4;56.65384615;0;0;0.769230769;0;0.269230769;0;0;0.384615385;1;1;0.576923077;0.615384615;0.038461538;0.346153846;1.230769231;2.730769231;1.923076923;12.73076923;12.96153846;5.923076923;3.307692308;2.115384615;12.26923077;1.153846154;1.961538462;2.538461538;0.961538462;1.230769231;2.846153846;8;2;2;2.730769231;0.615384615;0;0.769230769;0;0;0;59.59090909;0.909090909;0.893939394;0.166666667;2.757575758;0.787878788;1;0.03030303;0.333333333;0.924242424;0.606060606;0.318181818;0.560606061;0.924242424;1.121212121;0.333333333;15.3030303;3.287878788;0.151515152;-1.559595613;-0.532505897;-0.820912321;POINT (-11.23443341 14.26798331)
5;52.26923077;0;0;0.461538462;0;0.307692308;0;0;0;0.884615385;1;0.115384615;0.730769231;0;0;1.076923077;1.846153846;2.384615385;11.92307692;12.19230769;5.461538462;3.423076923;6.269230769;5.576923077;0.346153846;5.076923077;1.307692308;0.961538462;1.038461538;2.807692308;7.923076923;2;2;1.692307692;0.192307692;0;0.576923077;0;0;0;51.37288136;0.610169492;1.152542373;0.457627119;0.271186441;0.084745763;0.559322034;0;0.06779661;0.033898305;0.06779661;0.033898305;0.101694915;0.86440678;1.016949153;0.542372881;13.81355932;4.915254237;0.033898305;-0.156316703;0.041814311;1.294712461;POINT (-10.937075 14.7136206)
6;52.38461538;0.153846154;0.153846154;0;0.307692308;0.192307692;0;0.153846154;0.807692308;1;0.961538462;0.769230769;0.846153846;0.384615385;0.730769231;2.692307692;3;2.923076923;7.923076923;8.384615385;4.038461538;3.269230769;1.153846154;0.230769231;0.769230769;0.153846154;0;0.192307692;1.153846154;1.192307692;7.615384615;1;1.961538462;2.615384615;0.038461538;0.076923077;0;0.038461538;0.038461538;0.038461538;60.13333333;0.977777778;0.622222222;0.155555556;5.911111111;1.933333333;1.133333333;0.111111111;1.044444444;1.666666667;1.333333333;1.066666667;0.844444444;0.711111111;1.088888889;0.066666667;1;2.755555556;0.533333333;-3.970192611;-1.433267808;-5.931077376;POINT (-11.42293775 14.44225541)
7;45.24;0.16;0.04;0.04;0.36;0.28;0;0.04;0.96;1;1;0.76;0.76;0.36;0.8;3;3;3;8.6;9.28;4.52;3.2;0.16;1.32;0.2;0.48;0.08;0.08;1.12;1.32;7.44;1;1.96;2.76;0;0;0.04;0;0;0;48.14;0.94;0.7;0.08;4.56;1.42;1.1;0.08;1.02;1.56;1;0.74;0.86;0.92;1.1;0.16;0.2;2.84;0.56;-3.515539502;-1.307133594;-5.308994194;POINT (-11.43503308 14.44172211)
8;56.46153846;0;0;0.615384615;0.115384615;0.730769231;0;0;0;0.961538462;1;0.538461538;0.615384615;0.038461538;0.153846154;1.461538462;1.923076923;1.076923077;11.92307692;12.15384615;6.153846154;3.5;0.576923077;4.615384615;2.384615385;1.923076923;1.115384615;1;1;2;7.961538462;2;2;1.961538462;0.423076923;0;0.615384615;0;0;0;59.39393939;0.96969697;1.015151515;0.439393939;1.484848485;0.46969697;0.636363636;0.03030303;0.090909091;0.53030303;0.363636364;0.196969697;0.196969697;0.939393939;1;0.363636364;9.772727273;4.409090909;0.075757576;-0.652348485;-0.300021563;-0.691929979;POINT (-10.80736198 14.05298819)
9;59;0;0;0.730769231;0.307692308;0.192307692;0;0;0.538461538;0.846153846;1;0.692307692;0.5;0.307692308;0.269230769;1.307692308;2.692307692;1;13.46153846;13.65384615;6.384615385;6.076923077;2.346153846;3.153846154;8.461538462;5;2.5;0.961538462;1.076923077;2.461538462;8;2;2;2.846153846;0.538461538;0;0.884615385;0;0;0;60.42307692;0.961538462;0.782051282;0.358974359;0.628205128;0.179487179;0.602564103;0.012820513;0.461538462;1.217948718;0.153846154;0.025641026;0.512820513;0.846153846;1.025641026;0.41025641;14.35897436;4;0.282051282;-1.135716573;-0.443543822;-0.785659261;POINT (-10.5424321 14.52865982)
10;46.28;0;0;0.48;0.04;0.56;0;0;0;0.8;1;0.72;0.76;0;0.24;1.16;1.24;1;10.6;10.92;6.32;4.24;1.48;8.84;3.92;5.24;0.88;1;1.04;2.12;7.96;2;2.08;1.48;0.6;0;0.64;0;0;0.32;48.81132075;0.924528302;0.943396226;0.41509434;1.603773585;0.528301887;0.716981132;0.018867925;0;1.018867925;0.396226415;0.226415094;0.056603774;0.943396226;1.018867925;0.547169811;9.830188679;3.981132075;0.037735849;-0.642171633;-0.332445732;-1.158670544;POINT (-11.17599971 13.36186731)
